ticker,total_volume,adf,adf_10%_level,below_10%,adf_p,natr_min,natr_mean,min_price,mean_price,max_price
GENI,947791009.0,-1.6414353603893228,-2.56678582924922,False,0.46151087398672447,0.050305422380529236,0.15457686818460226,6.7281,9.901425069437302,13.71
ARCC,1066825967.0,-2.4233876364462654,-2.56678582924922,False,0.13524392509281036,0.021702388756901454,0.05940132612938093,18.26,21.926507795298836,23.83
PANW,1415528401.0,-3.0441885925593897,-2.56678582924922,True,0.030968773997374004,0.03641598864918939,0.11390377055681646,144.42,187.76493913715666,210.245
ENPH,1500498338.0,-2.913534586167417,-2.56678582924922,True,0.04379659535665173,0.07624080675131929,0.21511241427101857,29.9375,56.490207281133635,113.62
BTI,1237340716.0,-0.3572939585006879,-2.56678582924922,False,0.9169886950527035,0.01708755232598629,0.04967481357875215,34.2115,43.54036247115523,59.28
MTCH,1094932389.0,-2.387081098940857,-2.56678582924922,False,0.14541592112115664,0.031199645554685386,0.10225743533513648,26.46,33.17510120442341,39.075
GM,2679369660.0,-1.981682771684255,-2.56678582924922,False,0.29466186292565755,0.030550978807142474,0.10600018539027413,41.69,51.26001003296986,61.98
KR,1504694890.0,-1.948581223214091,-2.56678582924922,False,0.30956312431003696,0.023877268323116877,0.0766845806997741,54.89,65.21956126306964,74.865
PG,1702262534.0,-2.2285617647620946,-2.56678582924922,False,0.19604294862533495,0.021745936913068958,0.06174791833312866,149.92,164.24185540543158,180.4024
AMC,2628918957.0,-1.9066286789957776,-2.56678582924922,False,0.3289492253191274,0.14001990838443437,0.3117459358085344,2.455,3.409807428350993,5.545
ADT,2984668782.0,-2.123342627565546,-2.56678582924922,False,0.2352325845886271,0.04402927463658712,0.11329206421936434,6.685,7.903406005565272,8.935
AAPL,12260269671.0,-1.4653784172987552,-2.56678582924922,False,0.5505633743566578,0.027554350573815358,0.09526505426959768,169.2408,223.65391728370534,259.9299
EL,998412125.0,-1.9734721396493018,-2.56678582924922,False,0.2983243774789889,0.0409955257852403,0.1314147950935576,48.54,76.29180788428145,98.904
SLB,3600685049.0,-1.7856239500690916,-2.56678582924922,False,0.38762199840355005,0.03643959819233353,0.11078890501272355,31.17,38.112129680886746,46.14
BIDU,1073922029.0,-0.45251392129819495,-2.56678582924922,False,0.9009547541119607,0.022221141034551434,0.10326362022067338,74.78,91.70885086127971,141.2
VLY,2046588300.0,-2.205170495218045,-2.56678582924922,False,0.2043742204245803,0.04925469813698602,0.12892202355589,7.485,9.46485274971711,11.13
COMP,1653932409.0,-1.8212181056884738,-2.56678582924922,False,0.3699795306567568,0.07061588712214023,0.18719217794087356,5.105,7.291710737835614,10.245
GEVO,1362157171.0,-2.017637174281931,-2.56678582924922,False,0.2788937551575588,0.19295106598155518,0.4988109409729451,0.9251,1.5949094899907414,3.38
DVN,2130821616.0,-2.4354754949509236,-2.56678582924922,False,0.1319729753552787,0.038358119556447995,0.11316537235844859,25.95,34.79300451141858,43.29
ASTS,2616665206.0,-1.048203853162556,-2.56678582924922,False,0.7352798080257867,0.1225636999498003,0.33369304300742697,17.5301,31.93178197197819,60.805
CSCO,4617187587.0,-1.835808374567171,-2.56678582924922,False,0.3628342602361463,0.021907491975990453,0.06825400743007055,52.19,62.06587858764531,72.21
CIFR,5110819891.0,0.36601208315686506,-2.56678582924922,False,0.9801784427746142,0.14238010725042385,0.4169318946688869,1.87,5.259992436961218,15.4235
NNE,966366538.0,-2.9279404473870083,-2.56678582924922,True,0.04219404493148193,0.11178562361894664,0.4434272295485068,13.8,28.97799243916264,48.0177
KIM,1048927173.0,-1.8299888855567616,-2.56678582924922,False,0.3656779337289332,0.024856310796060925,0.07323374988438952,17.965,22.13979433131365,25.82
ELAN,1403816595.0,0.44222408594361884,-2.56678582924922,False,0.9830071220033719,0.039851094082599486,0.12616510305743203,8.035,13.243799793004834,20.19
BKR,1718272368.0,-1.5876460518880624,-2.56678582924922,False,0.4897962948381229,0.03282003141902614,0.10088832684097011,33.785,41.66611889941365,50.915
VST,1584617732.0,-1.7087055776920628,-2.56678582924922,False,0.4266327752988698,0.05878795193284712,0.21684590524690667,91.41,158.65442516790455,219.8075
CLSK,7346424437.0,-2.2069520962561273,-2.56678582924922,False,0.20373192996050427,0.07390911257629144,0.34453138669852934,6.47,10.46657174255735,17.9154
PLTR,19727044769.0,-0.7126896544134733,-2.56678582924922,False,0.8434351941136254,0.05058837399376874,0.2261580536487352,36.085,106.46143947697769,189.224
CDE,3539422456.0,3.26506441233018,-2.56678582924922,False,1.0,0.07564610669140628,0.21776925778410952,4.59,8.073626380650138,19.1611
YMM,2223391148.0,-2.2360957704547375,-2.56678582924922,False,0.1934064944891919,0.033938111924651786,0.12715036410200953,8.2,11.439025757545517,14.0
CART,1024137137.0,-2.6527052908771136,-2.56678582924922,True,0.08258590666038779,0.038082665152568355,0.13483109584762468,34.91,44.30566391890751,53.41
IAG,3052464112.0,1.7952594641695354,-2.56678582924922,False,0.9983395684653366,0.07813302773231924,0.1947438669590333,4.44,6.766019853924493,13.13
DNUT,1019347158.0,-1.0797652651195713,-2.56678582924922,False,0.7230734639544266,0.036516067397921535,0.20439688245959586,2.5023,6.3458346769776774,12.65
SERV,1741846632.0,-2.623655554120783,-2.56678582924922,True,0.08820603691651674,0.09736991785669522,0.37808822811854953,4.6612,10.83415228405514,23.92
FTI,1068915989.0,-1.026921957090663,-2.56678582924922,False,0.7433189471250609,0.03501095323905408,0.1041111589392767,22.135,31.3324353898673,41.285
